"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.lang.String.isEmpty ()","1.63 ms (0%)","1.59 ms (0.1%)","1.63 ms (0%)","1.59 ms (0%)","12,008"
"java.util.Collections.emptyIterator ()","1.61 ms (0%)","1.58 ms (0.1%)","1.61 ms (0%)","1.58 ms (0%)","3,842"
"java.util.Collections$EmptyIterator.hasNext ()","1.58 ms (0%)","1.54 ms (0.1%)","1.58 ms (0%)","1.54 ms (0%)","3,842"
"java.lang.CharacterDataLatin1.getType (int)","2.51 ms (0.1%)","1.53 ms (0.1%)","3.36 ms (0%)","2.29 ms (0%)","6,738"
"java.util.IdentityHashMap.put (Object, Object)","1.58 ms (0%)","1.51 ms (0.1%)","2.49 ms (0%)","2.39 ms (0%)","754"
"java.util.IdentityHashMap.hash (Object, int)","1.52 ms (0%)","1.51 ms (0.1%)","1.52 ms (0%)","1.51 ms (0%)","2,473"
"java.util.concurrent.locks.ReentrantLock.lock ()","1.49 ms (0%)","1.50 ms (0.1%)","5.15 ms (0%)","5.9 ms (0.1%)","1,356"
"jdk.internal.misc.Unsafe.getReferenceAcquire (Object, long)","1.73 ms (0%)","1.46 ms (0.1%)","1.73 ms (0%)","1.46 ms (0%)","6,279"
"java.util.concurrent.locks.ReentrantLock.unlock ()","1.46 ms (0%)","1.46 ms (0.1%)","5.31 ms (0%)","4.69 ms (0.1%)","1,373"
"java.util.HashMap.resize ()","1.38 ms (0%)","1.43 ms (0.1%)","1.38 ms (0%)","1.43 ms (0%)","2,786"
"java.util.concurrent.locks.ReentrantLock$Sync.lock ()","1.43 ms (0%)","1.42 ms (0.1%)","3.63 ms (0%)","3.57 ms (0.1%)","1,356"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.initialTryLock ()","1.44 ms (0%)","1.40 ms (0.1%)","2.15 ms (0%)","2.12 ms (0%)","1,356"
"java.util.concurrent.ConcurrentHashMap.spread (int)","30.5 ms (0.8%)","1.35 ms (0.1%)","30.5 ms (0.2%)","1.35 ms (0%)","5,964"
"java.lang.Character.isLetterOrDigit (char)","1.48 ms (0%)","1.35 ms (0.1%)","8.68 ms (0.1%)","7.18 ms (0.1%)","5,615"
